"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"        Margin of Error","±2,546","","","±2,463","±426","±307","±308","±67","±182","±556","±397","±2,462","","±1,401","±1,226","±1,078","±1,016","±830","±999","±777","","±1,053","±2,451","±2,378","±2,706","","±1,387","±1,719","±2,345","±2,187","±1,520","±1,717"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","559,921","","","96.1%","0.9%","0.6%","0.8%","0.0%","0.2%","1.5%","1.2%","95.2%","","15.5%","14.1%","18.6%","22.1%","17.4%","8.6%","3.8%","","6.5%","28.9%","31.2%","33.4%","","8.7%","12.8%","21.8%","25.9%","14.1%","16.8%"
"        Margin of Error","±2,546","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2","±0.1","","±0.2","±0.4","±0.4","±0.4","","±0.2","±0.3","±0.4","±0.4","±0.3","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","404,759","","","394,464","1,099","1,830","2,374","84","544","4,364","3,477","391,772","","38,259","54,676","81,271","99,495","80,436","37,075","13,547","","19,973","110,802","124,695","149,289","","19,797","33,054","67,983","121,568","72,596","89,761"
"        Margin of Error","±2,909","","","±2,749","±214","±235","±237","±52","±169","±431","±344","±2,694","","±1,073","±1,197","±1,064","±1,079","±919","±886","±664","","±768","±1,958","±1,824","±2,368","","±977","±1,238","±1,557","±2,015","±1,469","±1,611"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","404,759","","","97.5%","0.3%","0.5%","0.6%","0.0%","0.1%","1.1%","0.9%","96.8%","","9.5%","13.5%","20.1%","24.6%","19.9%","9.2%","3.3%","","4.9%","27.4%","30.8%","36.9%","","4.9%","8.2%","16.8%","30.0%","17.9%","22.2%"
"        Margin of Error","±2,909","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.3","±0.2","±0.3","±0.2","±0.2","±0.2","","±0.2","±0.5","±0.4","±0.5","","±0.2","±0.3","±0.4","±0.4","±0.3","±0.4"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","155,162","","","143,413","3,879","1,738","1,910","64","338","3,820","3,027","141,313","","48,344","24,215","22,790","24,089","17,095","11,157","7,472","","16,407","51,054","50,102","37,599","","28,856","38,523","53,961","23,452","6,156","4,214"
"        Margin of Error","±2,162","","","±2,057","±367","±234","±274","±55","±128","±473","±307","±2,103","","±1,269","±1,261","±1,001","±826","±832","±724","±552","","±901","±1,951","±1,639","±1,363","","±1,095","±1,453","±1,664","±1,045","±505","±367"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","155,162","","","92.4%","2.5%","1.1%","1.2%","0.0%","0.2%","2.5%","2.0%","91.1%","","31.2%","15.6%","14.7%","15.5%","11.0%","7.2%","4.8%","","10.6%","32.9%","32.3%","24.2%","","18.6%","24.8%","34.8%","15.1%","4.0%","2.7%"
"        Margin of Error","±2,162","","","±0.4","±0.2","±0.2","±0.2","±0.1","±0.1","±0.3","±0.2","±0.4","","±0.8","±0.7","±0.6","±0.5","±0.5","±0.4","±0.4","","±0.6","±1.0","±1.0","±0.9","","±0.7","±0.8","±0.9","±0.6","±0.3","±0.2"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,205,204","","","1,318,538","648,484","6,711","121,789","961","61,746","46,975","146,907","1,245,794","","365,867","386,007","451,163","455,718","318,917","160,832","66,700","","172,840","468,696","590,218","973,450","","210,326","317,066","504,599","559,335","303,269","310,609"
"        Margin of Error","±5,389","","","±4,826","±2,718","±662","±1,128","±131","±1,563","±1,542","±1,693","±4,442","","±3,269","±2,583","±3,245","±2,159","±1,937","±1,714","±1,503","","±2,745","±4,400","±4,134","±7,345","","±3,118","±3,870","±4,200","±5,176","±3,212","±2,873"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,205,204","","","59.8%","29.4%","0.3%","5.5%","0.0%","2.8%","2.1%","6.7%","56.5%","","16.6%","17.5%","20.5%","20.7%","14.5%","7.3%","3.0%","","7.8%","21.3%","26.8%","44.1%","","9.5%","14.4%","22.9%","25.4%","13.8%","14.1%"
"        Margin of Error","±5,389","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,475,149","","","999,061","333,905","3,752","85,243","561","26,072","26,555","73,451","957,908","","136,766","234,715","322,401","353,452","255,787","126,790","45,238","","82,313","284,982","376,108","731,746","","71,251","120,661","251,542","457,724","279,491","294,480"
"        Margin of Error","±8,312","","","±5,521","±3,733","±435","±1,187","±102","±920","±1,140","±1,655","±4,858","","±2,759","±2,816","±2,933","±2,740","±2,132","±1,777","±1,224","","±1,752","±3,201","±3,538","±6,673","","±1,626","±2,214","±3,172","±4,482","±3,147","±2,818"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,475,149","","","67.7%","22.6%","0.3%","5.8%","0.0%","1.8%","1.8%","5.0%","64.9%","","9.3%","15.9%","21.9%","24.0%","17.3%","8.6%","3.1%","","5.6%","19.3%","25.5%","49.6%","","4.8%","8.2%","17.1%","31.0%","18.9%","20.0%"
"        Margin of Error","±8,312","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.1","±0.1","±0.2","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","730,055","","","319,477","314,579","2,959","36,546","400","35,674","20,420","73,456","287,886","","229,101","151,292","128,762","102,266","63,130","34,042","21,462","","90,527","183,714","214,110","241,704","","139,075","196,405","253,057","101,611","23,778","16,129"
"        Margin of Error","±5,419","","","±3,611","±3,478","±474","±1,077","±122","±1,277","±1,057","±1,456","±3,464","","±3,093","±2,845","±2,600","±2,303","±1,567","±988","±961","","±2,153","±3,651","±2,916","±2,943","","±2,638","±3,040","±3,738","±2,291","±1,106","±863"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","730,055","","","43.8%","43.1%","0.4%","5.0%","0.1%","4.9%","2.8%","10.1%","39.4%","","31.4%","20.7%","17.6%","14.0%","8.6%","4.7%","2.9%","","12.4%","25.2%","29.3%","33.1%","","19.0%","26.9%","34.7%","13.9%","3.3%","2.2%"
"        Margin of Error","±5,419","","","±0.4","±0.3","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.4","","±0.4","±0.4","±0.3","±0.3","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.3","±0.4","±0.4","±0.3","±0.1","±0.1"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,617,497","","","2,149,509","173,234","5,193","145,828","922","90,075","52,736","244,310","2,013,404","","456,057","430,851","516,850","530,829","386,021","198,196","98,693","","214,662","563,783","636,213","1,202,839","","237,907","358,552","624,582","615,554","357,266","423,636"
"        Margin of Error","±4,909","","","±5,041","±2,124","±467","±1,559","±252","±1,885","±1,592","±2,215","±4,762","","±3,398","±2,156","±2,576","±2,466","±1,900","±2,312","±1,819","","±2,923","±5,091","±4,414","±8,173","","±3,427","±3,293","±4,243","±4,871","±3,816","±3,581"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,617,497","","","82.1%","6.6%","0.2%","5.6%","0.0%","3.4%","2.0%","9.3%","76.9%","","17.4%","16.5%","19.7%","20.3%","14.7%","7.6%","3.8%","","8.2%","21.5%","24.3%","46.0%","","9.1%","13.7%","23.9%","23.5%","13.6%","16.2%"
"        Margin of Error","±4,909","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,632,765","","","1,448,502","59,119","1,835","79,392","495","23,031","20,391","66,191","1,406,992","","138,143","248,789","361,384","391,725","289,476","140,417","62,831","","77,206","311,854","388,335","855,370","","76,388","127,988","282,951","444,685","308,968","391,785"
"        Margin of Error","±8,539","","","±7,520","±1,481","±291","±1,461","±162","±1,066","±910","±1,672","±7,017","","±2,971","±2,972","±3,187","±2,827","±2,153","±2,337","±1,531","","±1,513","±3,267","±3,597","±7,569","","±2,108","±2,511","±3,442","±4,323","±3,641","±3,481"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,632,765","","","88.7%","3.6%","0.1%","4.9%","0.0%","1.4%","1.2%","4.1%","86.2%","","8.5%","15.2%","22.1%","24.0%","17.7%","8.6%","3.8%","","4.7%","19.1%","23.8%","52.4%","","4.7%","7.8%","17.3%","27.2%","18.9%","24.0%"
"        Margin of Error","±8,539","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.1","±0.1","±0.2","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","984,732","","","701,007","114,115","3,358","66,436","427","67,044","32,345","178,119","606,412","","317,914","182,062","155,466","139,104","96,545","57,779","35,862","","137,456","251,929","247,878","347,469","","161,519","230,564","341,631","170,869","48,298","31,851"
"        Margin of Error","±5,635","","","±5,115","±2,213","±441","±1,449","±176","±1,804","±1,371","±2,335","±5,068","","±3,323","±3,160","±2,435","±2,568","±1,989","±1,751","±1,126","","±2,659","±4,325","±3,243","±3,113","","±3,165","±2,875","±3,976","±3,145","±1,553","±1,374"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","984,732","","","71.2%","11.6%","0.3%","6.7%","0.0%","6.8%","3.3%","18.1%","61.6%","","32.3%","18.5%","15.8%","14.1%","9.8%","5.9%","3.6%","","14.0%","25.6%","25.2%","35.3%","","16.4%","23.4%","34.7%","17.4%","4.9%","3.2%"
"        Margin of Error","±5,635","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.3","±0.3","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.1"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,935,041","","","3,183,051","527,956","19,528","101,311","937","34,198","68,060","140,493","3,087,557","","712,606","611,706","732,283","815,112","605,905","316,924","140,505","","314,097","1,034,655","1,373,579","1,212,710","","368,144","559,201","938,064","873,272","559,392","636,968"
"        Margin of Error","±8,563","","","±7,623","±2,678","±747","±1,140","±178","±1,234","±1,711","±1,731","±7,330","","±4,494","±2,480","±2,411","±2,731","±2,339","±2,401","±1,606","","±3,608","±4,959","±6,356","±9,962","","±3,750","±4,401","±5,705","±6,208","±4,721","±3,958"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,935,041","","","80.9%","13.4%","0.5%","2.6%","0.0%","0.9%","1.7%","3.6%","78.5%","","18.1%","15.5%","18.6%","20.7%","15.4%","8.1%","3.6%","","8.0%","26.3%","34.9%","30.8%","","9.4%","14.2%","23.8%","22.2%","14.2%","16.2%"
"        Margin of Error","±8,563","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,802,699","","","2,455,679","220,614","11,966","58,582","401","18,410","37,047","79,332","2,399,059","","301,547","415,234","557,191","654,778","506,098","265,896","101,955","","178,551","712,145","955,583","956,420","","144,693","244,312","538,908","735,117","525,624","614,045"
"        Margin of Error","±11,218","","","±9,123","±2,536","±583","±1,058","±140","±920","±1,333","±1,588","±8,624","","±3,807","±4,030","±3,077","±2,930","±2,296","±2,269","±1,459","","±2,315","±3,791","±5,572","±9,050","","±2,396","±3,199","±4,195","±5,504","±4,468","±3,728"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,802,699","","","87.6%","7.9%","0.4%","2.1%","0.0%","0.7%","1.3%","2.8%","85.6%","","10.8%","14.8%","19.9%","23.4%","18.1%","9.5%","3.6%","","6.4%","25.4%","34.1%","34.1%","","5.2%","8.7%","19.2%","26.2%","18.8%","21.9%"
"        Margin of Error","±11,218","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,132,342","","","727,372","307,342","7,562","42,729","536","15,788","31,013","61,161","688,498","","411,059","196,472","175,092","160,334","99,807","51,028","38,550","","135,546","322,510","417,996","256,290","","223,451","314,889","399,156","138,155","33,768","22,923"
"        Margin of Error","±5,585","","","±4,524","±3,314","±507","±1,121","±159","±936","±1,212","±1,651","±4,212","","±3,346","±3,652","±2,504","±2,531","±1,599","±1,241","±1,207","","±2,815","±4,111","±4,272","±3,023","","±2,901","±3,722","±3,918","±2,248","±1,157","±1,049"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,132,342","","","64.2%","27.1%","0.7%","3.8%","0.0%","1.4%","2.7%","5.4%","60.8%","","36.3%","17.4%","15.5%","14.2%","8.8%","4.5%","3.4%","","12.0%","28.5%","36.9%","22.6%","","19.7%","27.8%","35.3%","12.2%","3.0%","2.0%"
"        Margin of Error","±5,585","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.3","±0.3","±0.2","±0.1","±0.1"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,185,603","","","1,917,317","113,728","18,773","73,848","717","26,775","34,445","75,706","1,873,239","","445,703","371,299","395,921","434,886","299,586","162,474","75,734","","128,629","495,515","738,271","823,188","","214,189","326,153","511,812","520,023","304,921","308,505"
"        Margin of Error","±5,103","","","±4,494","±1,467","±524","±979","±178","±1,083","±1,219","±1,104","±4,126","","±3,173","±1,799","±1,604","±1,757","±1,901","±1,519","±1,303","","±1,719","±3,829","±4,551","±6,071","","±2,489","±3,486","±4,234","±3,699","±3,026","±2,177"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,185,603","","","87.7%","5.2%","0.9%","3.4%","0.0%","1.2%","1.6%","3.5%","85.7%","","20.4%","17.0%","18.1%","19.9%","13.7%","7.4%","3.5%","","5.9%","22.7%","33.8%","37.7%","","9.8%","14.9%","23.4%","23.8%","14.0%","14.1%"
